,variavel,taxa_acerto_g0,taxa_acerto_g1,g0_quantile,g1_quantile,g0_quantile_score,g1_quantile_score,cherry_score
22,worst_perimeter,0.8009049773755657,0.9942528735632183,Q3,Q3,1.0,1.0,0.897578925469392
7,mean_concave_points,0.7737556561085973,1.0,Q3,Q3,1.0,1.0,0.8868778280542986
23,worst_area,0.7737556561085973,0.9885057471264368,Q3,Q3,1.0,1.0,0.881130701617517
27,worst_concave_points,0.755656108597285,0.9971264367816092,Q3,Q3,1.0,1.0,0.8763912726894472
20,worst_radius,0.7647058823529411,0.9798850574712644,Q3,Q3,1.0,1.0,0.8722954699121028
6,mean_concavity,0.7013574660633484,0.9913793103448276,Q3,Q3,1.0,1.0,0.846368388204088
2,mean_perimeter,0.7058823529411765,0.9741379310344828,Q3,Q3,1.0,1.0,0.8400101419878296
0,mean_radius,0.7013574660633484,0.9511494252873564,Q3,Q3,1.0,1.0,0.8262534456753523
26,worst_concavity,0.6515837104072398,0.9683908045977011,Q2,Q3,0.5,1.0,0.6470913299006605
5,mean_compactness,0.5113122171945701,0.9683908045977011,Q2,Q3,0.5,1.0,0.6120234565974931
13,area_error,0.7104072398190046,0.9367816091954023,Q3,Q2,1.0,0.3,0.49572086128881265
3,mean_area,0.7013574660633484,0.9482758620689655,Q3,Q2,1.0,0.3,0.49292011234201905
10,radius_error,0.6470588235294118,0.8706896551724138,Q2,Q2,0.5,0.3,0.29236815415821504
12,perimeter_error,0.6063348416289592,0.9022988505747126,Q2,Q2,0.5,0.3,0.2869285379934467
1,mean_texture,0.6153846153846154,0.8045977011494253,Q2,Q2,0.5,0.3,0.27453580901856767
21,worst_texture,0.6244343891402715,0.7873563218390804,Q2,Q2,0.5,0.3,0.27421204556092993
25,worst_compactness,0.48868778280542985,0.9482758620689655,Q1,Q2,0.25,0.3,0.20332735216102357
17,concave_points_error,0.502262443438914,0.882183908045977,Q1,Q2,0.25,0.3,0.1951103916367608
16,concavity_error,0.43891402714932126,0.8850574712643678,Q1,Q2,0.25,0.3,0.18762287408332032
24,worst_smoothness,0.5882352941176471,0.7787356321839081,Q2,Q1,0.5,0.1,0.1859956051386072
9,mean_fractal_dimension,0.6515837104072398,0.4051724137931034,Q2,Q1,0.5,0.1,0.18315454829146513
15,compactness_error,0.3936651583710407,0.8850574712643678,Q1,Q2,0.25,0.3,0.18196676548603524
28,worst_symmetry,0.579185520361991,0.7155172413793104,Q2,Q1,0.5,0.1,0.18057224215946327
14,smoothness_error,0.583710407239819,0.48563218390804597,Q2,Q1,0.5,0.1,0.17020921100535708
18,symmetry_error,0.5701357466063348,0.5344827586206896,Q2,Q1,0.5,0.1,0.16925807458261818
29,worst_fractal_dimension,0.38009049773755654,0.7902298850574713,Q1,Q2,0.25,0.3,0.16604579497581526
4,mean_smoothness,0.48868778280542985,0.7528735632183908,Q1,Q1,0.25,0.1,0.09872965101159828
8,mean_symmetry,0.4660633484162896,0.7385057471264368,Q1,Q1,0.25,0.1,0.09518320590835805
19,fractal_dimension_error,0.334841628959276,0.7672413793103449,Q1,Q1,0.25,0.1,0.08021727258542674
11,texture_error,0.4117647058823529,0.5603448275862069,Q1,Q1,0.25,0.1,0.07948782961460446
30,random_variable,0.4117647058823529,0.5574712643678161,Q1,Q1,0.25,0.1,0.07934415145368492
